Moeda,Data Entrada,Data Saída,Entrada,Saída,Lucro (%),RSI,EMA_diff,MACD_diff,Volume_relativo,BB_position
XRP/USDT,2025-04-04 06:00:00,2025-04-06 20:00:00,2.05453,1.94809,-5.18,50.594076581614395,0.0018826663455038964,0.004767174134959536,1.1002493059873888,0.6552697972886382
XRP/USDT,2025-04-06 21:00:00,2025-04-07 03:00:00,1.95387,1.82329,-6.68,22.59472062754888,-0.03917387589404213,-0.014318502097427743,1.8515230387878132,-0.01900838880522796
XRP/USDT,2025-04-07 04:00:00,2025-04-07 06:00:00,1.80349,1.65448,-8.26,18.64080250684175,-0.06659650734646405,-0.017268393458349296,1.722064858277252,-0.012041665736059796
XRP/USDT,2025-04-07 13:00:00,2025-04-09 02:00:00,1.87073,1.76768,-5.51,48.76153667511479,0.028364288481161896,0.010537470650322497,1.3911724568437691,0.5633401307262073
XRP/USDT,2025-04-09 13:00:00,2025-04-09 17:00:00,1.82334,2.07061,13.56,49.25823786615453,0.005904802428418885,0.004428933723099552,1.8000683080733786,0.6610443254901646
XRP/USDT,2025-04-09 18:00:00,2025-04-13 09:00:00,2.00443,2.23007,11.26,66.25947563006523,0.0691952535609447,0.026642147947904992,1.527681669878649,1.0845039607134295
XRP/USDT,2025-04-13 10:00:00,2025-04-13 21:00:00,2.21998,2.10878,-5.01,73.7318138684435,0.025352405258640832,0.003009996387622501,1.9914813129116276,1.1211879353767493
XRP/USDT,2025-04-14 11:00:00,2025-04-18 00:00:00,2.15653,2.04795,-5.03,54.816761609646754,0.007969420585480147,0.0011737865934674692,1.1595387892748694,0.7457656490517134
XRP/USDT,2025-04-18 07:00:00,2025-04-23 08:00:00,2.06898,2.29153,10.76,47.9612962716157,0.0008405215845191768,0.00044931379631261287,1.031343047058835,0.45673474543385967
XRP/USDT,2025-04-23 09:00:00,2025-04-24 07:00:00,2.27328,2.14958,-5.44,68.19011289851697,0.019841872632586504,0.005444580153816048,1.1099627620577541,0.8773692014847577
